distance_to_target,target_speed,target_heading,target_height,other_ship_priority,num_weapons,nearby_ship_health,my_ship_health,num_targets,cond_bits,p_val
228.0,635.0,109.0,1878.0,5.0,100.0,95.0,2.0,14.0,51642.0,0.0
17.0,553.0,101.0,212.0,3.0,42.0,79.0,2.0,1.0,77000.0,0.0
13.0,478.0,7.0,653.0,7.0,72.0,94.0,4.0,23.0,57131.0,0.0
590.0,590.0,160.0,1257.0,8.0,77.0,4.0,4.0,19.0,215652.0,0.0
311.0,1067.0,132.0,1691.0,1.0,57.0,82.0,1.0,2.0,27558.0,0.0
411.0,588.0,147.0,1463.0,3.0,66.0,75.0,2.0,27.0,50105.0,0.0
177.0,1026.0,177.0,1893.0,0.0,63.0,22.0,0.0,15.0,143659.0,0.0
391.0,1312.0,8.0,577.0,6.0,85.0,88.0,3.0,12.0,98181.0,0.0
136.0,1030.0,81.0,900.0,6.0,85.0,54.0,2.0,10.0,156844.0,0.0
712.0,1159.0,180.0,407.0,7.0,8.0,49.0,3.0,7.0,37099.0,0.0
366.0,509.0,61.0,1868.0,5.0,64.0,49.0,2.0,30.0,218568.0,0.0
148.0,982.0,129.0,1335.0,2.0,94.0,26.0,2.0,20.0,204715.0,0.0
292.0,586.0,55.0,555.0,7.0,9.0,33.0,4.0,17.0,195521.0,0.0
749.0,1250.0,172.0,689.0,7.0,49.0,58.0,3.0,22.0,209966.0,0.0
761.0,18.0,46.0,643.0,1.0,31.0,49.0,1.0,12.0,10500.0,0.0
935.0,268.0,167.0,1074.0,1.0,36.0,78.0,2.0,13.0,62573.0,0.0
771.0,935.0,125.0,1489.0,1.0,93.0,15.0,4.0,3.0,106804.0,0.0
936.0,66.0,165.0,257.0,7.0,94.0,45.0,0.0,26.0,19374.0,0.0
122.0,621.0,149.0,267.0,7.0,72.0,68.0,3.0,10.0,1187.0,0.0
612.0,1143.0,114.0,1067.0,4.0,70.0,93.0,4.0,15.0,203641.0,0.0
697.0,863.0,111.0,606.0,0.0,88.0,61.0,0.0,29.0,232662.0,0.0
720.0,271.0,133.0,1263.0,1.0,4.0,55.0,0.0,16.0,186501.0,0.0
237.0,64.0,5.0,507.0,6.0,95.0,0.0,4.0,23.0,157758.0,0.0
831.0,217.0,106.0,1077.0,3.0,71.0,18.0,1.0,29.0,67929.0,0.0
478.0,759.0,48.0,1012.0,7.0,98.0,13.0,3.0,4.0,9909.0,0.0
544.0,1303.0,149.0,1244.0,8.0,89.0,34.0,0.0,21.0,261457.0,0.0
194.0,143.0,29.0,621.0,0.0,79.0,67.0,1.0,19.0,123091.0,0.0
952.0,330.0,79.0,570.0,8.0,11.0,7.0,3.0,20.0,248567.0,0.0
228.0,1170.0,73.0,1214.0,6.0,6.0,73.0,2.0,23.0,18321.0,0.0
664.0,1310.0,140.0,691.0,0.0,50.0,38.0,1.0,0.0,55339.0,0.0
452.0,571.0,168.0,801.0,0.0,48.0,15.0,3.0,25.0,138517.0,0.0
774.0,1052.0,19.0,1422.0,8.0,93.0,44.0,2.0,0.0,94553.0,0.0
565.0,774.0,11.0,853.0,0.0,65.0,69.0,1.0,27.0,109215.0,0.0
503.0,638.0,4.0,1598.0,4.0,80.0,81.0,1.0,10.0,181397.0,0.0
983.0,1093.0,37.0,812.0,4.0,11.0,6.0,2.0,20.0,151976.0,0.0
843.0,869.0,70.0,810.0,6.0,57.0,93.0,1.0,17.0,151087.0,0.0
9.0,468.0,89.0,1159.0,0.0,10.0,35.0,0.0,29.0,52940.0,0.0
579.0,1020.0,64.0,683.0,1.0,87.0,62.0,4.0,27.0,10078.0,0.0
904.0,31.0,124.0,168.0,0.0,13.0,20.0,0.0,13.0,70177.0,0.0
869.0,757.0,130.0,949.0,5.0,40.0,64.0,4.0,2.0,142033.0,0.0
912.0,852.0,0.0,1540.0,2.0,87.0,69.0,1.0,1.0,24035.0,0.0
197.0,594.0,154.0,1054.0,0.0,48.0,20.0,3.0,16.0,74734.0,0.0
103.0,739.0,158.0,855.0,3.0,6.0,28.0,0.0,13.0,46316.0,0.0
128.0,725.0,75.0,35.0,1.0,5.0,49.0,0.0,18.0,189719.0,0.0
670.0,689.0,65.0,1040.0,2.0,55.0,30.0,4.0,13.0,178660.0,0.0
267.0,815.0,26.0,927.0,6.0,90.0,78.0,0.0,17.0,183637.0,0.0
493.0,401.0,107.0,42.0,8.0,16.0,81.0,4.0,23.0,130890.0,0.0
914.0,870.0,78.0,859.0,1.0,52.0,95.0,3.0,0.0,177264.0,0.0
450.0,1035.0,92.0,859.0,4.0,13.0,8.0,2.0,11.0,58159.0,0.0
314.0,797.0,119.0,1487.0,3.0,58.0,64.0,4.0,4.0,231381.0,0.0
820.0,157.0,20.0,1140.0,1.0,11.0,14.0,4.0,1.0,162754.0,0.0
304.0,1164.0,7.0,892.0,2.0,81.0,21.0,2.0,12.0,239246.0,0.0
899.0,566.0,26.0,615.0,5.0,0.0,61.0,3.0,2.0,159269.0,0.0
42.0,1244.0,105.0,1235.0,3.0,89.0,8.0,4.0,27.0,192986.0,0.0
935.0,150.0,121.0,517.0,6.0,51.0,39.0,1.0,6.0,144167.0,0.0
453.0,25.0,116.0,1772.0,6.0,84.0,46.0,2.0,19.0,164708.0,0.0
148.0,1360.0,98.0,764.0,8.0,17.0,46.0,1.0,5.0,192721.0,0.0
643.0,1078.0,42.0,173.0,6.0,71.0,72.0,4.0,28.0,153426.0,0.0
796.0,556.0,27.0,1909.0,5.0,96.0,95.0,1.0,18.0,167067.0,0.0
291.0,237.0,141.0,1160.0,5.0,90.0,58.0,2.0,0.0,32267.0,0.0
337.0,322.0,92.0,712.0,3.0,66.0,91.0,0.0,18.0,91878.0,0.0
738.0,907.0,133.0,118.0,0.0,14.0,98.0,3.0,5.0,78796.0,0.0
955.0,243.0,19.0,570.0,4.0,34.0,12.0,4.0,21.0,196451.0,0.0
826.0,1199.0,10.0,1079.0,1.0,98.0,67.0,0.0,21.0,55414.0,0.0
587.0,777.0,162.0,136.0,4.0,99.0,51.0,3.0,20.0,81727.0,0.0
216.0,1229.0,106.0,701.0,2.0,70.0,28.0,3.0,17.0,35440.0,0.0
228.0,1257.0,88.0,1380.0,0.0,73.0,47.0,2.0,29.0,235646.0,0.0
194.0,1180.0,83.0,563.0,5.0,61.0,21.0,4.0,16.0,99329.0,0.0
775.0,378.0,24.0,545.0,2.0,28.0,92.0,4.0,1.0,257175.0,0.0
501.0,359.0,15.0,997.0,5.0,73.0,41.0,4.0,11.0,144243.0,0.0
617.0,369.0,34.0,211.0,6.0,22.0,88.0,0.0,26.0,211003.0,0.0
876.0,138.0,160.0,653.0,1.0,59.0,92.0,1.0,23.0,31027.0,0.0
286.0,156.0,111.0,1239.0,1.0,93.0,51.0,2.0,25.0,105269.0,0.0
358.0,263.0,100.0,317.0,6.0,42.0,25.0,0.0,12.0,7191.0,0.0
927.0,239.0,160.0,688.0,2.0,32.0,85.0,3.0,7.0,162138.0,0.0
987.0,320.0,101.0,289.0,4.0,66.0,94.0,4.0,21.0,128365.0,0.0
287.0,373.0,29.0,388.0,2.0,10.0,72.0,1.0,3.0,86532.0,0.0
80.0,1083.0,53.0,1065.0,1.0,75.0,39.0,4.0,9.0,177816.0,0.0
270.0,882.0,30.0,587.0,2.0,87.0,64.0,0.0,12.0,8610.0,0.0
927.0,986.0,127.0,1774.0,2.0,64.0,93.0,4.0,4.0,161484.0,0.0
180.0,628.0,66.0,903.0,7.0,48.0,41.0,3.0,18.0,176745.0,0.0
115.0,1103.0,96.0,881.0,2.0,16.0,18.0,2.0,2.0,94511.0,0.0
299.0,913.0,128.0,86.0,5.0,99.0,35.0,3.0,14.0,192450.0,0.0
152.0,1133.0,99.0,1203.0,3.0,14.0,24.0,4.0,10.0,123301.0,0.0
341.0,681.0,178.0,306.0,6.0,71.0,67.0,4.0,14.0,213766.0,0.0
780.0,16.0,113.0,762.0,8.0,54.0,3.0,0.0,10.0,159560.0,0.0
489.0,899.0,111.0,1402.0,5.0,13.0,88.0,0.0,30.0,80590.0,0.0
679.0,1395.0,55.0,839.0,4.0,75.0,27.0,3.0,30.0,16934.0,0.0
424.0,204.0,93.0,251.0,3.0,86.0,10.0,4.0,2.0,119462.0,0.0
334.0,182.0,141.0,549.0,8.0,40.0,76.0,2.0,2.0,118241.0,0.0
887.0,999.0,43.0,501.0,3.0,40.0,26.0,1.0,21.0,13335.0,0.0
397.0,1390.0,88.0,1731.0,4.0,38.0,71.0,2.0,19.0,179410.0,0.0
985.0,1343.0,161.0,1357.0,0.0,17.0,19.0,3.0,26.0,85621.0,0.0
300.0,982.0,25.0,710.0,7.0,46.0,58.0,1.0,24.0,158543.0,0.0
426.0,65.0,175.0,1026.0,6.0,14.0,51.0,4.0,19.0,9851.0,0.0
785.0,147.0,107.0,899.0,6.0,73.0,46.0,2.0,7.0,167028.0,0.0
279.0,156.0,14.0,682.0,7.0,100.0,89.0,1.0,18.0,207331.0,0.0
653.0,433.0,163.0,688.0,7.0,6.0,95.0,3.0,28.0,34864.0,0.0
46.0,1315.0,140.0,1615.0,1.0,52.0,65.0,2.0,17.0,90410.0,0.0
178.0,247.0,137.0,38.0,7.0,75.0,79.0,0.0,21.0,78949.0,0.0
