distance_to_target,target_speed,target_heading,target_height,other_ship_priority,num_weapons,nearby_ship_health,my_ship_health,num_targets,cond_bits,p_val
417.0,499.0,7.0,708.0,6.0,60.0,17.0,4.0,19.0,258205.0,-52.0
882.0,106.0,156.0,255.0,1.0,81.0,98.0,2.0,11.0,31910.0,0.0
349.0,354.0,99.0,974.0,0.0,14.0,83.0,4.0,25.0,181549.0,0.0
381.0,340.0,157.0,1949.0,4.0,69.0,96.0,4.0,8.0,1644.0,0.0
351.0,983.0,150.0,1459.0,2.0,31.0,52.0,2.0,0.0,140016.0,0.0
381.0,1005.0,28.0,627.0,0.0,94.0,67.0,1.0,8.0,105466.0,0.0
404.0,599.0,47.0,979.0,8.0,14.0,66.0,4.0,24.0,255743.0,0.0
975.0,138.0,37.0,1744.0,8.0,49.0,25.0,1.0,25.0,49197.0,0.0
326.0,1326.0,163.0,1707.0,8.0,94.0,83.0,2.0,12.0,24945.0,0.0
727.0,1222.0,163.0,924.0,8.0,24.0,62.0,3.0,21.0,116542.0,0.0
837.0,215.0,49.0,1276.0,8.0,65.0,63.0,2.0,19.0,99400.0,0.0
277.0,412.0,125.0,704.0,0.0,69.0,99.0,2.0,20.0,155629.0,0.0
925.0,152.0,153.0,1723.0,5.0,23.0,71.0,4.0,30.0,75339.0,0.0
576.0,1134.0,109.0,599.0,1.0,34.0,91.0,2.0,22.0,221039.0,0.0
454.0,340.0,42.0,1790.0,7.0,77.0,51.0,2.0,25.0,84930.0,0.0
745.0,631.0,95.0,518.0,3.0,87.0,46.0,4.0,15.0,120612.0,0.0
38.0,1235.0,46.0,173.0,0.0,32.0,92.0,4.0,0.0,254657.0,0.0
17.0,888.0,125.0,13.0,1.0,32.0,46.0,4.0,7.0,106591.0,0.0
313.0,74.0,21.0,1178.0,0.0,66.0,14.0,1.0,7.0,106856.0,0.0
339.0,450.0,157.0,1220.0,6.0,30.0,25.0,3.0,14.0,169939.0,0.0
846.0,1290.0,152.0,890.0,3.0,91.0,22.0,4.0,18.0,133028.0,0.0
986.0,810.0,93.0,459.0,1.0,62.0,70.0,0.0,3.0,150725.0,0.0
130.0,419.0,95.0,1600.0,8.0,59.0,43.0,3.0,25.0,253686.0,0.0
468.0,1397.0,171.0,422.0,4.0,4.0,43.0,3.0,10.0,165301.0,0.0
42.0,356.0,6.0,196.0,5.0,93.0,51.0,1.0,30.0,248388.0,0.0
898.0,514.0,68.0,1017.0,8.0,17.0,89.0,4.0,15.0,125516.0,0.0
639.0,1166.0,21.0,434.0,8.0,76.0,83.0,0.0,1.0,81907.0,0.0
707.0,299.0,140.0,1553.0,0.0,94.0,77.0,3.0,0.0,95162.0,0.0
704.0,282.0,30.0,1250.0,8.0,36.0,73.0,0.0,13.0,50153.0,0.0
96.0,651.0,46.0,835.0,7.0,51.0,34.0,3.0,23.0,227424.0,0.0
980.0,797.0,156.0,1504.0,0.0,1.0,22.0,0.0,24.0,131985.0,0.0
386.0,1267.0,41.0,1018.0,5.0,26.0,70.0,4.0,12.0,248614.0,0.0
732.0,1.0,85.0,1438.0,5.0,44.0,61.0,1.0,30.0,195537.0,0.0
196.0,1377.0,167.0,893.0,8.0,65.0,83.0,1.0,0.0,217225.0,0.0
370.0,181.0,173.0,1714.0,4.0,14.0,10.0,4.0,22.0,201383.0,0.0
5.0,652.0,120.0,1954.0,3.0,25.0,21.0,3.0,21.0,172299.0,0.0
672.0,465.0,121.0,1074.0,8.0,64.0,58.0,0.0,19.0,98296.0,0.0
779.0,304.0,123.0,1722.0,4.0,66.0,34.0,3.0,28.0,193678.0,0.0
907.0,1101.0,168.0,756.0,3.0,11.0,42.0,1.0,27.0,16722.0,0.0
560.0,163.0,168.0,25.0,8.0,68.0,50.0,2.0,3.0,84273.0,0.0
900.0,27.0,101.0,180.0,6.0,98.0,14.0,3.0,10.0,90280.0,0.0
878.0,516.0,3.0,1991.0,4.0,80.0,40.0,4.0,27.0,232865.0,0.0
929.0,938.0,10.0,861.0,6.0,51.0,13.0,2.0,17.0,72818.0,0.0
737.0,1.0,49.0,396.0,4.0,12.0,6.0,4.0,19.0,1628.0,0.0
804.0,763.0,51.0,170.0,5.0,47.0,3.0,3.0,22.0,113010.0,0.0
938.0,920.0,33.0,422.0,7.0,40.0,8.0,3.0,26.0,50889.0,0.0
723.0,1333.0,169.0,838.0,3.0,19.0,86.0,1.0,15.0,91977.0,0.0
821.0,677.0,30.0,1771.0,6.0,5.0,34.0,1.0,20.0,182880.0,0.0
341.0,51.0,70.0,1286.0,5.0,38.0,9.0,3.0,4.0,92789.0,0.0
231.0,246.0,176.0,1458.0,3.0,80.0,64.0,4.0,9.0,230758.0,0.0
925.0,355.0,70.0,504.0,6.0,51.0,47.0,2.0,3.0,65428.0,0.0
717.0,1148.0,96.0,112.0,6.0,58.0,78.0,4.0,27.0,209375.0,0.0
492.0,705.0,167.0,360.0,4.0,81.0,84.0,3.0,24.0,238616.0,0.0
101.0,566.0,85.0,152.0,6.0,52.0,34.0,2.0,6.0,2943.0,0.0
858.0,59.0,60.0,1035.0,5.0,87.0,15.0,2.0,29.0,105090.0,0.0
763.0,1166.0,113.0,1481.0,8.0,90.0,88.0,2.0,18.0,95552.0,0.0
186.0,420.0,154.0,386.0,7.0,61.0,35.0,3.0,24.0,5288.0,0.0
427.0,697.0,11.0,1309.0,6.0,48.0,79.0,1.0,5.0,111313.0,0.0
981.0,215.0,94.0,959.0,6.0,98.0,78.0,4.0,21.0,68749.0,0.0
430.0,425.0,97.0,672.0,5.0,91.0,0.0,0.0,11.0,168225.0,0.0
77.0,881.0,130.0,975.0,2.0,5.0,34.0,2.0,23.0,15958.0,0.0
431.0,695.0,14.0,379.0,1.0,45.0,12.0,0.0,30.0,226844.0,0.0
727.0,1174.0,54.0,1429.0,8.0,37.0,0.0,4.0,8.0,75732.0,0.0
264.0,1180.0,78.0,1177.0,6.0,45.0,75.0,3.0,24.0,45373.0,0.0
89.0,118.0,177.0,82.0,4.0,60.0,85.0,1.0,10.0,37553.0,0.0
864.0,373.0,145.0,695.0,0.0,30.0,70.0,0.0,28.0,228529.0,0.0
241.0,788.0,41.0,1339.0,8.0,62.0,68.0,3.0,14.0,60902.0,0.0
295.0,229.0,87.0,433.0,6.0,29.0,38.0,0.0,11.0,92347.0,0.0
413.0,720.0,38.0,1292.0,5.0,29.0,80.0,2.0,17.0,194008.0,0.0
970.0,103.0,74.0,1978.0,4.0,19.0,80.0,4.0,6.0,226219.0,0.0
521.0,856.0,15.0,1423.0,5.0,45.0,15.0,3.0,14.0,206488.0,0.0
227.0,173.0,63.0,307.0,3.0,4.0,62.0,2.0,7.0,121988.0,0.0
93.0,19.0,59.0,1762.0,7.0,6.0,5.0,2.0,25.0,146941.0,0.0
598.0,73.0,82.0,1451.0,2.0,31.0,45.0,0.0,3.0,79269.0,0.0
392.0,185.0,58.0,1291.0,3.0,97.0,6.0,4.0,20.0,46414.0,0.0
574.0,644.0,74.0,954.0,5.0,55.0,23.0,3.0,23.0,187508.0,0.0
900.0,696.0,66.0,82.0,0.0,30.0,46.0,3.0,18.0,199662.0,0.0
675.0,1305.0,73.0,279.0,1.0,47.0,39.0,2.0,9.0,163439.0,0.0
898.0,1390.0,130.0,134.0,7.0,99.0,32.0,1.0,1.0,223701.0,0.0
139.0,1216.0,37.0,166.0,6.0,6.0,50.0,0.0,18.0,205913.0,0.0
457.0,954.0,140.0,255.0,3.0,91.0,63.0,3.0,22.0,9552.0,0.0
992.0,780.0,149.0,1436.0,5.0,71.0,55.0,4.0,13.0,229519.0,0.0
77.0,624.0,155.0,840.0,2.0,65.0,50.0,2.0,11.0,74893.0,0.0
41.0,1319.0,49.0,968.0,3.0,24.0,64.0,4.0,21.0,112497.0,0.0
45.0,151.0,160.0,1818.0,4.0,18.0,62.0,3.0,3.0,127762.0,0.0
968.0,509.0,169.0,946.0,6.0,32.0,18.0,2.0,18.0,114674.0,0.0
27.0,1101.0,28.0,1113.0,7.0,46.0,75.0,2.0,21.0,153733.0,0.0
351.0,747.0,48.0,1666.0,7.0,41.0,38.0,0.0,21.0,208617.0,0.0
535.0,26.0,145.0,765.0,7.0,78.0,14.0,4.0,3.0,231748.0,0.0
694.0,135.0,143.0,1922.0,1.0,42.0,38.0,3.0,21.0,219036.0,0.0
303.0,399.0,33.0,1907.0,0.0,12.0,19.0,3.0,5.0,134971.0,0.0
929.0,6.0,14.0,1251.0,8.0,9.0,1.0,3.0,10.0,25626.0,0.0
839.0,361.0,101.0,106.0,7.0,41.0,38.0,2.0,16.0,73291.0,0.0
260.0,1384.0,82.0,870.0,8.0,84.0,89.0,3.0,16.0,113005.0,0.0
945.0,1229.0,47.0,1670.0,8.0,20.0,90.0,2.0,2.0,219140.0,0.0
204.0,677.0,175.0,307.0,7.0,22.0,81.0,2.0,16.0,239559.0,0.0
413.0,1383.0,32.0,1873.0,0.0,13.0,46.0,3.0,12.0,149532.0,0.0
823.0,231.0,18.0,1738.0,7.0,88.0,47.0,3.0,14.0,139398.0,0.0
