distance_to_target,target_speed,target_heading,target_height,other_ship_priority,num_weapons,nearby_ship_health,my_ship_health,num_targets,cond_bits,p_val
701.0,717.0,101.0,1012.0,4.0,94.0,9.0,0.0,11.0,20499.0,0.0
683.0,235.0,59.0,1661.0,8.0,52.0,55.0,2.0,17.0,130671.0,0.0
48.0,378.0,0.0,1804.0,1.0,26.0,63.0,2.0,18.0,42141.0,0.0
906.0,454.0,96.0,1242.0,7.0,38.0,95.0,1.0,4.0,211163.0,0.0
506.0,1033.0,28.0,1026.0,1.0,77.0,84.0,3.0,28.0,136909.0,0.0
865.0,793.0,58.0,1337.0,6.0,32.0,49.0,4.0,29.0,93613.0,0.0
985.0,383.0,141.0,1807.0,0.0,69.0,51.0,0.0,13.0,222878.0,0.0
512.0,1281.0,56.0,781.0,1.0,16.0,30.0,2.0,4.0,194052.0,0.0
844.0,1282.0,171.0,1265.0,4.0,88.0,17.0,3.0,5.0,344.0,0.0
726.0,200.0,55.0,1379.0,1.0,76.0,34.0,3.0,5.0,98758.0,0.0
46.0,349.0,64.0,1984.0,6.0,59.0,45.0,0.0,15.0,74681.0,0.0
221.0,1281.0,166.0,780.0,5.0,12.0,87.0,2.0,6.0,177639.0,0.0
778.0,554.0,103.0,447.0,1.0,24.0,75.0,4.0,8.0,135957.0,0.0
666.0,207.0,22.0,1113.0,1.0,2.0,64.0,2.0,16.0,38034.0,0.0
560.0,1105.0,72.0,1539.0,6.0,63.0,34.0,2.0,16.0,80843.0,0.0
802.0,710.0,153.0,965.0,7.0,70.0,28.0,2.0,7.0,32977.0,0.0
772.0,1267.0,168.0,1466.0,8.0,44.0,51.0,1.0,14.0,14166.0,0.0
159.0,1039.0,50.0,351.0,8.0,31.0,76.0,2.0,2.0,98248.0,0.0
177.0,181.0,175.0,1615.0,8.0,43.0,28.0,4.0,0.0,224165.0,0.0
413.0,1283.0,106.0,1343.0,2.0,93.0,74.0,1.0,18.0,201223.0,0.0
213.0,356.0,35.0,1319.0,6.0,91.0,12.0,2.0,18.0,43443.0,0.0
571.0,227.0,47.0,700.0,5.0,6.0,95.0,2.0,19.0,137435.0,0.0
145.0,773.0,155.0,744.0,2.0,69.0,19.0,4.0,10.0,168477.0,0.0
461.0,1291.0,7.0,1222.0,2.0,11.0,63.0,1.0,16.0,70417.0,0.0
982.0,1225.0,102.0,16.0,7.0,72.0,58.0,0.0,3.0,28689.0,0.0
473.0,526.0,141.0,1650.0,0.0,59.0,38.0,1.0,26.0,198971.0,0.0
239.0,255.0,7.0,1303.0,5.0,94.0,50.0,1.0,20.0,164599.0,0.0
263.0,1330.0,110.0,1161.0,3.0,88.0,82.0,1.0,30.0,129129.0,0.0
630.0,1131.0,28.0,1152.0,0.0,62.0,68.0,1.0,30.0,144121.0,0.0
93.0,1281.0,155.0,661.0,7.0,64.0,39.0,0.0,29.0,145330.0,0.0
250.0,200.0,69.0,344.0,4.0,73.0,72.0,4.0,30.0,189930.0,0.0
616.0,1282.0,0.0,1839.0,0.0,80.0,42.0,1.0,20.0,175008.0,0.0
796.0,945.0,93.0,71.0,1.0,9.0,26.0,4.0,20.0,45225.0,0.0
575.0,334.0,90.0,133.0,5.0,31.0,35.0,2.0,2.0,230036.0,0.0
150.0,258.0,17.0,10.0,7.0,79.0,35.0,2.0,29.0,127432.0,0.0
207.0,685.0,10.0,857.0,7.0,14.0,37.0,4.0,10.0,106696.0,0.0
33.0,373.0,138.0,57.0,0.0,15.0,93.0,0.0,10.0,98757.0,0.0
583.0,635.0,61.0,1822.0,8.0,70.0,75.0,2.0,18.0,258002.0,0.0
898.0,709.0,116.0,1263.0,8.0,38.0,68.0,3.0,9.0,170300.0,0.0
32.0,983.0,162.0,320.0,7.0,51.0,70.0,3.0,7.0,178949.0,0.0
618.0,1186.0,135.0,253.0,4.0,66.0,10.0,0.0,8.0,52189.0,0.0
159.0,1346.0,113.0,555.0,7.0,83.0,7.0,1.0,14.0,218554.0,0.0
769.0,1351.0,103.0,216.0,4.0,87.0,58.0,1.0,8.0,172242.0,0.0
152.0,26.0,145.0,674.0,2.0,39.0,35.0,1.0,2.0,53465.0,0.0
859.0,258.0,126.0,1367.0,0.0,46.0,47.0,4.0,21.0,199633.0,0.0
32.0,241.0,165.0,724.0,7.0,87.0,40.0,3.0,1.0,1838.0,0.0
513.0,951.0,59.0,655.0,6.0,47.0,60.0,3.0,5.0,207195.0,0.0
879.0,950.0,28.0,1579.0,3.0,34.0,43.0,2.0,19.0,1594.0,0.0
